"sigla_uf","peso_aluno"
"AC",6.3910505837
"AC",6.3910505837
"AC",6.3910505837
"AC",6.3910505837
"AC",6.3910505837
"AC",6.3910505837
"AC",6.3910505837
"AC",6.3910505837
"AC",6.3910505837
"AC",6.3910505837
"AC",6.3910505837
"AC",6.3910505837
"AC",6.3910505837
"AC",6.3910505837
"AC",5.6962670404
"AC",5.6962670404
"AC",5.6962670404
"AC",5.6962670404
"AC",5.6962670404
"AC",5.6962670404
"AC",5.6962670404
"AC",5.6962670404
"AC",5.6962670404
"AC",5.6962670404
"AC",5.6962670404
"AC",5.6962670404
"AC",5.6962670404
"AC",5.6962670404
"AC",5.6962670404
"AC",5.6962670404
"AC",5.6962670404
"AC",5.6962670404
"AC",5.6962670404
"AC",5.6962670404
"AC",5.6962670404
"AC",5.6962670404
"AC",5.6962670404
"AC",5.6962670404
"AC",5.6962670404
"AC",5.6962670404
"AC",5.6962670404
"AC",5.6962670404
"AC",5.6962670404
"AC",5.6962670404
"AC",5.6962670404
"AC",5.6962670404
"AC",5.6962670404
"AC",5.6962670404
"AC",5.6962670404
"AC",5.6962670404
"AC",5.6962670404
"AC",5.6962670404
"AC",5.6962670404
"AC",5.6962670404
"AC",5.6962670404
"AC",5.6962670404
"AC",5.6962670404
"AC",5.6962670404
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.2658937444
"AC",6.5507070964
"AC",6.5507070964
"AC",6.5507070964
"AC",6.5507070964
"AC",6.5507070964
"AC",6.5507070964
"AC",6.5507070964
"AC",6.5507070964
"AC",6.5507070964
"AC",6.5507070964
"AC",6.5507070964
"AC",6.5507070964
"AC",6.5507070964
"AC",6.5507070964
"AC",6.5507070964
"AC",6.5507070964
"AC",6.5507070964
